Variable Name,Description
fBodyGyro.bandsEnergy...41.48.2,Refer Feature file in repos
fBodyGyro.bandsEnergy...49.56.2,Refer Feature file in repos
fBodyGyro.bandsEnergy...57.64.2,Refer Feature file in repos
fBodyGyro.bandsEnergy...1.16.2,Refer Feature file in repos
fBodyGyro.bandsEnergy...17.32.2,Refer Feature file in repos
fBodyGyro.bandsEnergy...33.48.2,Refer Feature file in repos
fBodyGyro.bandsEnergy...49.64.2,Refer Feature file in repos
fBodyGyro.bandsEnergy...1.24.2,Refer Feature file in repos
fBodyGyro.bandsEnergy...25.48.2,Refer Feature file in repos
fBodyAccMag.mean..,Refer Feature file in repos
fBodyAccMag.std..,Refer Feature file in repos
fBodyAccMag.mad..,Refer Feature file in repos
fBodyAccMag.max..,Refer Feature file in repos
fBodyAccMag.min..,Refer Feature file in repos
fBodyAccMag.sma..,Refer Feature file in repos
fBodyAccMag.energy..,Refer Feature file in repos
fBodyAccMag.iqr..,Refer Feature file in repos
fBodyAccMag.entropy..,Refer Feature file in repos
fBodyAccMag.maxInds,Refer Feature file in repos
fBodyAccMag.meanFreq..,Refer Feature file in repos
fBodyAccMag.skewness..,Refer Feature file in repos
fBodyAccMag.kurtosis..,Refer Feature file in repos
fBodyBodyAccJerkMag.mean..,Refer Feature file in repos
fBodyBodyAccJerkMag.std..,Refer Feature file in repos
fBodyBodyAccJerkMag.mad..,Refer Feature file in repos
fBodyBodyAccJerkMag.max..,Refer Feature file in repos
fBodyBodyAccJerkMag.min..,Refer Feature file in repos
fBodyBodyAccJerkMag.sma..,Refer Feature file in repos
fBodyBodyAccJerkMag.energy..,Refer Feature file in repos
fBodyBodyAccJerkMag.iqr..,Refer Feature file in repos
fBodyBodyAccJerkMag.entropy..,Refer Feature file in repos
fBodyBodyAccJerkMag.maxInds,Refer Feature file in repos
fBodyBodyAccJerkMag.meanFreq..,Refer Feature file in repos
fBodyBodyAccJerkMag.skewness..,Refer Feature file in repos
fBodyBodyAccJerkMag.kurtosis..,Refer Feature file in repos
fBodyBodyGyroMag.mean..,Refer Feature file in repos
fBodyBodyGyroMag.std..,Refer Feature file in repos
fBodyBodyGyroMag.mad..,Refer Feature file in repos
fBodyBodyGyroMag.max..,Refer Feature file in repos
fBodyBodyGyroMag.min..,Refer Feature file in repos
fBodyBodyGyroMag.sma..,Refer Feature file in repos
fBodyBodyGyroMag.energy..,Refer Feature file in repos
fBodyBodyGyroMag.iqr..,Refer Feature file in repos
fBodyBodyGyroMag.entropy..,Refer Feature file in repos
fBodyBodyGyroMag.maxInds,Refer Feature file in repos
fBodyBodyGyroMag.meanFreq..,Refer Feature file in repos
fBodyBodyGyroMag.skewness..,Refer Feature file in repos
fBodyBodyGyroMag.kurtosis..,Refer Feature file in repos
fBodyBodyGyroJerkMag.mean..,Refer Feature file in repos
fBodyBodyGyroJerkMag.std..,Refer Feature file in repos
fBodyBodyGyroJerkMag.mad..,Refer Feature file in repos
fBodyBodyGyroJerkMag.max..,Refer Feature file in repos
fBodyBodyGyroJerkMag.min..,Refer Feature file in repos
fBodyBodyGyroJerkMag.sma..,Refer Feature file in repos
fBodyBodyGyroJerkMag.energy..,Refer Feature file in repos
fBodyBodyGyroJerkMag.iqr..,Refer Feature file in repos
fBodyBodyGyroJerkMag.entropy..,Refer Feature file in repos
fBodyBodyGyroJerkMag.maxInds,Refer Feature file in repos
fBodyBodyGyroJerkMag.meanFreq..,Refer Feature file in repos
fBodyBodyGyroJerkMag.skewness..,Refer Feature file in repos
fBodyBodyGyroJerkMag.kurtosis..,Refer Feature file in repos
angle.tBodyAccMean.gravity.,Refer Feature file in repos
angle.tBodyAccJerkMean..gravityMean.,Refer Feature file in repos
angle.tBodyGyroMean.gravityMean.,Refer Feature file in repos
angle.tBodyGyroJerkMean.gravityMean.,Refer Feature file in repos
angle.X.gravityMean.,Refer Feature file in repos
angle.Y.gravityMean.,Refer Feature file in repos
angle.Z.gravityMean.,Refer Feature file in repos
total_acc_z1,Response # 1 of feature: total_acc_z
total_acc_z2,Response # 2 of feature: total_acc_z
total_acc_z3,Response # 3 of feature: total_acc_z
total_acc_z4,Response # 4 of feature: total_acc_z
total_acc_z5,Response # 5 of feature: total_acc_z
total_acc_z6,Response # 6 of feature: total_acc_z
total_acc_z7,Response # 7 of feature: total_acc_z
total_acc_z8,Response # 8 of feature: total_acc_z
total_acc_z9,Response # 9 of feature: total_acc_z
total_acc_z10,Response # 10 of feature: total_acc_z
total_acc_z11,Response # 11 of feature: total_acc_z
total_acc_z12,Response # 12 of feature: total_acc_z
total_acc_z13,Response # 13 of feature: total_acc_z
total_acc_z14,Response # 14 of feature: total_acc_z
total_acc_z15,Response # 15 of feature: total_acc_z
total_acc_z16,Response # 16 of feature: total_acc_z
total_acc_z17,Response # 17 of feature: total_acc_z
total_acc_z18,Response # 18 of feature: total_acc_z
total_acc_z19,Response # 19 of feature: total_acc_z
total_acc_z20,Response # 20 of feature: total_acc_z
total_acc_z21,Response # 21 of feature: total_acc_z
total_acc_z22,Response # 22 of feature: total_acc_z
total_acc_z23,Response # 23 of feature: total_acc_z
total_acc_z24,Response # 24 of feature: total_acc_z
total_acc_z25,Response # 25 of feature: total_acc_z
total_acc_z26,Response # 26 of feature: total_acc_z
total_acc_z27,Response # 27 of feature: total_acc_z
total_acc_z28,Response # 28 of feature: total_acc_z
total_acc_z29,Response # 29 of feature: total_acc_z
total_acc_z30,Response # 30 of feature: total_acc_z
total_acc_z31,Response # 31 of feature: total_acc_z
total_acc_z32,Response # 32 of feature: total_acc_z
total_acc_z33,Response # 33 of feature: total_acc_z
total_acc_z34,Response # 34 of feature: total_acc_z
total_acc_z35,Response # 35 of feature: total_acc_z
total_acc_z36,Response # 36 of feature: total_acc_z
total_acc_z37,Response # 37 of feature: total_acc_z
total_acc_z38,Response # 38 of feature: total_acc_z
total_acc_z39,Response # 39 of feature: total_acc_z
total_acc_z40,Response # 40 of feature: total_acc_z
total_acc_z41,Response # 41 of feature: total_acc_z
total_acc_z42,Response # 42 of feature: total_acc_z
total_acc_z43,Response # 43 of feature: total_acc_z
total_acc_z44,Response # 44 of feature: total_acc_z
total_acc_z45,Response # 45 of feature: total_acc_z
total_acc_z46,Response # 46 of feature: total_acc_z
total_acc_z47,Response # 47 of feature: total_acc_z
total_acc_z48,Response # 48 of feature: total_acc_z
total_acc_z49,Response # 49 of feature: total_acc_z
total_acc_z50,Response # 50 of feature: total_acc_z
total_acc_z51,Response # 51 of feature: total_acc_z
total_acc_z52,Response # 52 of feature: total_acc_z
total_acc_z53,Response # 53 of feature: total_acc_z
total_acc_z54,Response # 54 of feature: total_acc_z
total_acc_z55,Response # 55 of feature: total_acc_z
total_acc_z56,Response # 56 of feature: total_acc_z
total_acc_z57,Response # 57 of feature: total_acc_z
total_acc_z58,Response # 58 of feature: total_acc_z
total_acc_z59,Response # 59 of feature: total_acc_z
total_acc_z60,Response # 60 of feature: total_acc_z
total_acc_z61,Response # 61 of feature: total_acc_z
total_acc_z62,Response # 62 of feature: total_acc_z
total_acc_z63,Response # 63 of feature: total_acc_z
total_acc_z64,Response # 64 of feature: total_acc_z
total_acc_z65,Response # 65 of feature: total_acc_z
total_acc_z66,Response # 66 of feature: total_acc_z
total_acc_z67,Response # 67 of feature: total_acc_z
total_acc_z68,Response # 68 of feature: total_acc_z
total_acc_z69,Response # 69 of feature: total_acc_z
total_acc_z70,Response # 70 of feature: total_acc_z
total_acc_z71,Response # 71 of feature: total_acc_z
total_acc_z72,Response # 72 of feature: total_acc_z
total_acc_z73,Response # 73 of feature: total_acc_z
total_acc_z74,Response # 74 of feature: total_acc_z
total_acc_z75,Response # 75 of feature: total_acc_z
total_acc_z76,Response # 76 of feature: total_acc_z
total_acc_z77,Response # 77 of feature: total_acc_z
total_acc_z78,Response # 78 of feature: total_acc_z
total_acc_z79,Response # 79 of feature: total_acc_z
total_acc_z80,Response # 80 of feature: total_acc_z
total_acc_z81,Response # 81 of feature: total_acc_z
total_acc_z82,Response # 82 of feature: total_acc_z
total_acc_z83,Response # 83 of feature: total_acc_z
total_acc_z84,Response # 84 of feature: total_acc_z
total_acc_z85,Response # 85 of feature: total_acc_z
total_acc_z86,Response # 86 of feature: total_acc_z
total_acc_z87,Response # 87 of feature: total_acc_z
total_acc_z88,Response # 88 of feature: total_acc_z
total_acc_z89,Response # 89 of feature: total_acc_z
total_acc_z90,Response # 90 of feature: total_acc_z
total_acc_z91,Response # 91 of feature: total_acc_z
total_acc_z92,Response # 92 of feature: total_acc_z
total_acc_z93,Response # 93 of feature: total_acc_z
total_acc_z94,Response # 94 of feature: total_acc_z
total_acc_z95,Response # 95 of feature: total_acc_z
total_acc_z96,Response # 96 of feature: total_acc_z
total_acc_z97,Response # 97 of feature: total_acc_z
total_acc_z98,Response # 98 of feature: total_acc_z
total_acc_z99,Response # 99 of feature: total_acc_z
total_acc_z100,Response # 100 of feature: total_acc_z
total_acc_z101,Response # 101 of feature: total_acc_z
total_acc_z102,Response # 102 of feature: total_acc_z
total_acc_z103,Response # 103 of feature: total_acc_z
total_acc_z104,Response # 104 of feature: total_acc_z
total_acc_z105,Response # 105 of feature: total_acc_z
total_acc_z106,Response # 106 of feature: total_acc_z
total_acc_z107,Response # 107 of feature: total_acc_z
total_acc_z108,Response # 108 of feature: total_acc_z
total_acc_z109,Response # 109 of feature: total_acc_z
total_acc_z110,Response # 110 of feature: total_acc_z
total_acc_z111,Response # 111 of feature: total_acc_z
total_acc_z112,Response # 112 of feature: total_acc_z
total_acc_z113,Response # 113 of feature: total_acc_z
total_acc_z114,Response # 114 of feature: total_acc_z
total_acc_z115,Response # 115 of feature: total_acc_z
total_acc_z116,Response # 116 of feature: total_acc_z
total_acc_z117,Response # 117 of feature: total_acc_z
total_acc_z118,Response # 118 of feature: total_acc_z
total_acc_z119,Response # 119 of feature: total_acc_z
total_acc_z120,Response # 120 of feature: total_acc_z
total_acc_z121,Response # 121 of feature: total_acc_z
total_acc_z122,Response # 122 of feature: total_acc_z
total_acc_z123,Response # 123 of feature: total_acc_z
total_acc_z124,Response # 124 of feature: total_acc_z
total_acc_z125,Response # 125 of feature: total_acc_z
total_acc_z126,Response # 126 of feature: total_acc_z
total_acc_z127,Response # 127 of feature: total_acc_z
total_acc_z128,Response # 128 of feature: total_acc_z
total_acc_y1,Response # 1 of feature: total_acc_y
total_acc_y2,Response # 2 of feature: total_acc_y
total_acc_y3,Response # 3 of feature: total_acc_y
total_acc_y4,Response # 4 of feature: total_acc_y
total_acc_y5,Response # 5 of feature: total_acc_y
total_acc_y6,Response # 6 of feature: total_acc_y
total_acc_y7,Response # 7 of feature: total_acc_y
total_acc_y8,Response # 8 of feature: total_acc_y
total_acc_y9,Response # 9 of feature: total_acc_y
total_acc_y10,Response # 10 of feature: total_acc_y
total_acc_y11,Response # 11 of feature: total_acc_y
total_acc_y12,Response # 12 of feature: total_acc_y
total_acc_y13,Response # 13 of feature: total_acc_y
total_acc_y14,Response # 14 of feature: total_acc_y
total_acc_y15,Response # 15 of feature: total_acc_y
total_acc_y16,Response # 16 of feature: total_acc_y
total_acc_y17,Response # 17 of feature: total_acc_y
total_acc_y18,Response # 18 of feature: total_acc_y
total_acc_y19,Response # 19 of feature: total_acc_y
total_acc_y20,Response # 20 of feature: total_acc_y
total_acc_y21,Response # 21 of feature: total_acc_y
total_acc_y22,Response # 22 of feature: total_acc_y
total_acc_y23,Response # 23 of feature: total_acc_y
total_acc_y24,Response # 24 of feature: total_acc_y
total_acc_y25,Response # 25 of feature: total_acc_y
total_acc_y26,Response # 26 of feature: total_acc_y
total_acc_y27,Response # 27 of feature: total_acc_y
total_acc_y28,Response # 28 of feature: total_acc_y
total_acc_y29,Response # 29 of feature: total_acc_y
total_acc_y30,Response # 30 of feature: total_acc_y
total_acc_y31,Response # 31 of feature: total_acc_y
total_acc_y32,Response # 32 of feature: total_acc_y
total_acc_y33,Response # 33 of feature: total_acc_y
total_acc_y34,Response # 34 of feature: total_acc_y
total_acc_y35,Response # 35 of feature: total_acc_y
total_acc_y36,Response # 36 of feature: total_acc_y
total_acc_y37,Response # 37 of feature: total_acc_y
total_acc_y38,Response # 38 of feature: total_acc_y
total_acc_y39,Response # 39 of feature: total_acc_y
total_acc_y40,Response # 40 of feature: total_acc_y
total_acc_y41,Response # 41 of feature: total_acc_y
total_acc_y42,Response # 42 of feature: total_acc_y
total_acc_y43,Response # 43 of feature: total_acc_y
total_acc_y44,Response # 44 of feature: total_acc_y
total_acc_y45,Response # 45 of feature: total_acc_y
total_acc_y46,Response # 46 of feature: total_acc_y
total_acc_y47,Response # 47 of feature: total_acc_y
total_acc_y48,Response # 48 of feature: total_acc_y
total_acc_y49,Response # 49 of feature: total_acc_y
total_acc_y50,Response # 50 of feature: total_acc_y
total_acc_y51,Response # 51 of feature: total_acc_y
total_acc_y52,Response # 52 of feature: total_acc_y
total_acc_y53,Response # 53 of feature: total_acc_y
total_acc_y54,Response # 54 of feature: total_acc_y
total_acc_y55,Response # 55 of feature: total_acc_y
total_acc_y56,Response # 56 of feature: total_acc_y
total_acc_y57,Response # 57 of feature: total_acc_y
total_acc_y58,Response # 58 of feature: total_acc_y
total_acc_y59,Response # 59 of feature: total_acc_y
total_acc_y60,Response # 60 of feature: total_acc_y
total_acc_y61,Response # 61 of feature: total_acc_y
total_acc_y62,Response # 62 of feature: total_acc_y
total_acc_y63,Response # 63 of feature: total_acc_y
total_acc_y64,Response # 64 of feature: total_acc_y
total_acc_y65,Response # 65 of feature: total_acc_y
total_acc_y66,Response # 66 of feature: total_acc_y
total_acc_y67,Response # 67 of feature: total_acc_y
total_acc_y68,Response # 68 of feature: total_acc_y
total_acc_y69,Response # 69 of feature: total_acc_y
total_acc_y70,Response # 70 of feature: total_acc_y
total_acc_y71,Response # 71 of feature: total_acc_y
total_acc_y72,Response # 72 of feature: total_acc_y
total_acc_y73,Response # 73 of feature: total_acc_y
total_acc_y74,Response # 74 of feature: total_acc_y
total_acc_y75,Response # 75 of feature: total_acc_y
total_acc_y76,Response # 76 of feature: total_acc_y
total_acc_y77,Response # 77 of feature: total_acc_y
total_acc_y78,Response # 78 of feature: total_acc_y
total_acc_y79,Response # 79 of feature: total_acc_y
total_acc_y80,Response # 80 of feature: total_acc_y
total_acc_y81,Response # 81 of feature: total_acc_y
total_acc_y82,Response # 82 of feature: total_acc_y
total_acc_y83,Response # 83 of feature: total_acc_y
total_acc_y84,Response # 84 of feature: total_acc_y
total_acc_y85,Response # 85 of feature: total_acc_y
total_acc_y86,Response # 86 of feature: total_acc_y
total_acc_y87,Response # 87 of feature: total_acc_y
total_acc_y88,Response # 88 of feature: total_acc_y
total_acc_y89,Response # 89 of feature: total_acc_y
total_acc_y90,Response # 90 of feature: total_acc_y
total_acc_y91,Response # 91 of feature: total_acc_y
total_acc_y92,Response # 92 of feature: total_acc_y
total_acc_y93,Response # 93 of feature: total_acc_y
total_acc_y94,Response # 94 of feature: total_acc_y
total_acc_y95,Response # 95 of feature: total_acc_y
total_acc_y96,Response # 96 of feature: total_acc_y
total_acc_y97,Response # 97 of feature: total_acc_y
total_acc_y98,Response # 98 of feature: total_acc_y
total_acc_y99,Response # 99 of feature: total_acc_y
total_acc_y100,Response # 100 of feature: total_acc_y
total_acc_y101,Response # 101 of feature: total_acc_y
total_acc_y102,Response # 102 of feature: total_acc_y
total_acc_y103,Response # 103 of feature: total_acc_y
total_acc_y104,Response # 104 of feature: total_acc_y
total_acc_y105,Response # 105 of feature: total_acc_y
total_acc_y106,Response # 106 of feature: total_acc_y
total_acc_y107,Response # 107 of feature: total_acc_y
total_acc_y108,Response # 108 of feature: total_acc_y
total_acc_y109,Response # 109 of feature: total_acc_y
total_acc_y110,Response # 110 of feature: total_acc_y
total_acc_y111,Response # 111 of feature: total_acc_y
total_acc_y112,Response # 112 of feature: total_acc_y
total_acc_y113,Response # 113 of feature: total_acc_y
total_acc_y114,Response # 114 of feature: total_acc_y
total_acc_y115,Response # 115 of feature: total_acc_y
total_acc_y116,Response # 116 of feature: total_acc_y
total_acc_y117,Response # 117 of feature: total_acc_y
total_acc_y118,Response # 118 of feature: total_acc_y
total_acc_y119,Response # 119 of feature: total_acc_y
total_acc_y120,Response # 120 of feature: total_acc_y
total_acc_y121,Response # 121 of feature: total_acc_y
total_acc_y122,Response # 122 of feature: total_acc_y
total_acc_y123,Response # 123 of feature: total_acc_y
total_acc_y124,Response # 124 of feature: total_acc_y
total_acc_y125,Response # 125 of feature: total_acc_y
total_acc_y126,Response # 126 of feature: total_acc_y
total_acc_y127,Response # 127 of feature: total_acc_y
total_acc_y128,Response # 128 of feature: total_acc_y
total_acc_x1,Response # 1 of feature: total_acc_x
total_acc_x2,Response # 2 of feature: total_acc_x
total_acc_x3,Response # 3 of feature: total_acc_x
total_acc_x4,Response # 4 of feature: total_acc_x
total_acc_x5,Response # 5 of feature: total_acc_x
total_acc_x6,Response # 6 of feature: total_acc_x
total_acc_x7,Response # 7 of feature: total_acc_x
total_acc_x8,Response # 8 of feature: total_acc_x
total_acc_x9,Response # 9 of feature: total_acc_x
total_acc_x10,Response # 10 of feature: total_acc_x
total_acc_x11,Response # 11 of feature: total_acc_x
total_acc_x12,Response # 12 of feature: total_acc_x
total_acc_x13,Response # 13 of feature: total_acc_x
total_acc_x14,Response # 14 of feature: total_acc_x
total_acc_x15,Response # 15 of feature: total_acc_x
total_acc_x16,Response # 16 of feature: total_acc_x
total_acc_x17,Response # 17 of feature: total_acc_x
total_acc_x18,Response # 18 of feature: total_acc_x
total_acc_x19,Response # 19 of feature: total_acc_x
total_acc_x20,Response # 20 of feature: total_acc_x
total_acc_x21,Response # 21 of feature: total_acc_x
total_acc_x22,Response # 22 of feature: total_acc_x
total_acc_x23,Response # 23 of feature: total_acc_x
total_acc_x24,Response # 24 of feature: total_acc_x
total_acc_x25,Response # 25 of feature: total_acc_x
total_acc_x26,Response # 26 of feature: total_acc_x
total_acc_x27,Response # 27 of feature: total_acc_x
total_acc_x28,Response # 28 of feature: total_acc_x
total_acc_x29,Response # 29 of feature: total_acc_x
total_acc_x30,Response # 30 of feature: total_acc_x
total_acc_x31,Response # 31 of feature: total_acc_x
total_acc_x32,Response # 32 of feature: total_acc_x
total_acc_x33,Response # 33 of feature: total_acc_x
total_acc_x34,Response # 34 of feature: total_acc_x
total_acc_x35,Response # 35 of feature: total_acc_x
total_acc_x36,Response # 36 of feature: total_acc_x
total_acc_x37,Response # 37 of feature: total_acc_x
total_acc_x38,Response # 38 of feature: total_acc_x
total_acc_x39,Response # 39 of feature: total_acc_x
total_acc_x40,Response # 40 of feature: total_acc_x
total_acc_x41,Response # 41 of feature: total_acc_x
total_acc_x42,Response # 42 of feature: total_acc_x
total_acc_x43,Response # 43 of feature: total_acc_x
total_acc_x44,Response # 44 of feature: total_acc_x
total_acc_x45,Response # 45 of feature: total_acc_x
total_acc_x46,Response # 46 of feature: total_acc_x
total_acc_x47,Response # 47 of feature: total_acc_x
total_acc_x48,Response # 48 of feature: total_acc_x
total_acc_x49,Response # 49 of feature: total_acc_x
total_acc_x50,Response # 50 of feature: total_acc_x
total_acc_x51,Response # 51 of feature: total_acc_x
total_acc_x52,Response # 52 of feature: total_acc_x
total_acc_x53,Response # 53 of feature: total_acc_x
total_acc_x54,Response # 54 of feature: total_acc_x
total_acc_x55,Response # 55 of feature: total_acc_x
total_acc_x56,Response # 56 of feature: total_acc_x
total_acc_x57,Response # 57 of feature: total_acc_x
total_acc_x58,Response # 58 of feature: total_acc_x
total_acc_x59,Response # 59 of feature: total_acc_x
total_acc_x60,Response # 60 of feature: total_acc_x
total_acc_x61,Response # 61 of feature: total_acc_x
total_acc_x62,Response # 62 of feature: total_acc_x
total_acc_x63,Response # 63 of feature: total_acc_x
total_acc_x64,Response # 64 of feature: total_acc_x
total_acc_x65,Response # 65 of feature: total_acc_x
total_acc_x66,Response # 66 of feature: total_acc_x
total_acc_x67,Response # 67 of feature: total_acc_x
total_acc_x68,Response # 68 of feature: total_acc_x
total_acc_x69,Response # 69 of feature: total_acc_x
total_acc_x70,Response # 70 of feature: total_acc_x
total_acc_x71,Response # 71 of feature: total_acc_x
total_acc_x72,Response # 72 of feature: total_acc_x
total_acc_x73,Response # 73 of feature: total_acc_x
total_acc_x74,Response # 74 of feature: total_acc_x
total_acc_x75,Response # 75 of feature: total_acc_x
total_acc_x76,Response # 76 of feature: total_acc_x
total_acc_x77,Response # 77 of feature: total_acc_x
total_acc_x78,Response # 78 of feature: total_acc_x
total_acc_x79,Response # 79 of feature: total_acc_x
total_acc_x80,Response # 80 of feature: total_acc_x
total_acc_x81,Response # 81 of feature: total_acc_x
total_acc_x82,Response # 82 of feature: total_acc_x
total_acc_x83,Response # 83 of feature: total_acc_x
total_acc_x84,Response # 84 of feature: total_acc_x
total_acc_x85,Response # 85 of feature: total_acc_x
total_acc_x86,Response # 86 of feature: total_acc_x
total_acc_x87,Response # 87 of feature: total_acc_x
total_acc_x88,Response # 88 of feature: total_acc_x
total_acc_x89,Response # 89 of feature: total_acc_x
total_acc_x90,Response # 90 of feature: total_acc_x
total_acc_x91,Response # 91 of feature: total_acc_x
total_acc_x92,Response # 92 of feature: total_acc_x
total_acc_x93,Response # 93 of feature: total_acc_x
total_acc_x94,Response # 94 of feature: total_acc_x
total_acc_x95,Response # 95 of feature: total_acc_x
total_acc_x96,Response # 96 of feature: total_acc_x
total_acc_x97,Response # 97 of feature: total_acc_x
total_acc_x98,Response # 98 of feature: total_acc_x
total_acc_x99,Response # 99 of feature: total_acc_x
total_acc_x100,Response # 100 of feature: total_acc_x
total_acc_x101,Response # 101 of feature: total_acc_x
total_acc_x102,Response # 102 of feature: total_acc_x
total_acc_x103,Response # 103 of feature: total_acc_x
total_acc_x104,Response # 104 of feature: total_acc_x
total_acc_x105,Response # 105 of feature: total_acc_x
total_acc_x106,Response # 106 of feature: total_acc_x
total_acc_x107,Response # 107 of feature: total_acc_x
total_acc_x108,Response # 108 of feature: total_acc_x
total_acc_x109,Response # 109 of feature: total_acc_x
total_acc_x110,Response # 110 of feature: total_acc_x
total_acc_x111,Response # 111 of feature: total_acc_x
total_acc_x112,Response # 112 of feature: total_acc_x
total_acc_x113,Response # 113 of feature: total_acc_x
total_acc_x114,Response # 114 of feature: total_acc_x
total_acc_x115,Response # 115 of feature: total_acc_x
total_acc_x116,Response # 116 of feature: total_acc_x
total_acc_x117,Response # 117 of feature: total_acc_x
total_acc_x118,Response # 118 of feature: total_acc_x
total_acc_x119,Response # 119 of feature: total_acc_x
total_acc_x120,Response # 120 of feature: total_acc_x
total_acc_x121,Response # 121 of feature: total_acc_x
total_acc_x122,Response # 122 of feature: total_acc_x
total_acc_x123,Response # 123 of feature: total_acc_x
total_acc_x124,Response # 124 of feature: total_acc_x
total_acc_x125,Response # 125 of feature: total_acc_x
total_acc_x126,Response # 126 of feature: total_acc_x
total_acc_x127,Response # 127 of feature: total_acc_x
total_acc_x128,Response # 128 of feature: total_acc_x
body_gyro_z1,Response # 1 of feature: body_gyro_z
body_gyro_z2,Response # 2 of feature: body_gyro_z
body_gyro_z3,Response # 3 of feature: body_gyro_z
body_gyro_z4,Response # 4 of feature: body_gyro_z
body_gyro_z5,Response # 5 of feature: body_gyro_z
body_gyro_z6,Response # 6 of feature: body_gyro_z
body_gyro_z7,Response # 7 of feature: body_gyro_z
body_gyro_z8,Response # 8 of feature: body_gyro_z
body_gyro_z9,Response # 9 of feature: body_gyro_z
body_gyro_z10,Response # 10 of feature: body_gyro_z
body_gyro_z11,Response # 11 of feature: body_gyro_z
body_gyro_z12,Response # 12 of feature: body_gyro_z
body_gyro_z13,Response # 13 of feature: body_gyro_z
body_gyro_z14,Response # 14 of feature: body_gyro_z
body_gyro_z15,Response # 15 of feature: body_gyro_z
body_gyro_z16,Response # 16 of feature: body_gyro_z
body_gyro_z17,Response # 17 of feature: body_gyro_z
body_gyro_z18,Response # 18 of feature: body_gyro_z
body_gyro_z19,Response # 19 of feature: body_gyro_z
body_gyro_z20,Response # 20 of feature: body_gyro_z
body_gyro_z21,Response # 21 of feature: body_gyro_z
body_gyro_z22,Response # 22 of feature: body_gyro_z
body_gyro_z23,Response # 23 of feature: body_gyro_z
body_gyro_z24,Response # 24 of feature: body_gyro_z
body_gyro_z25,Response # 25 of feature: body_gyro_z
body_gyro_z26,Response # 26 of feature: body_gyro_z
body_gyro_z27,Response # 27 of feature: body_gyro_z
body_gyro_z28,Response # 28 of feature: body_gyro_z
body_gyro_z29,Response # 29 of feature: body_gyro_z
body_gyro_z30,Response # 30 of feature: body_gyro_z
body_gyro_z31,Response # 31 of feature: body_gyro_z
body_gyro_z32,Response # 32 of feature: body_gyro_z
body_gyro_z33,Response # 33 of feature: body_gyro_z
body_gyro_z34,Response # 34 of feature: body_gyro_z
body_gyro_z35,Response # 35 of feature: body_gyro_z
body_gyro_z36,Response # 36 of feature: body_gyro_z
body_gyro_z37,Response # 37 of feature: body_gyro_z
body_gyro_z38,Response # 38 of feature: body_gyro_z
body_gyro_z39,Response # 39 of feature: body_gyro_z
body_gyro_z40,Response # 40 of feature: body_gyro_z
body_gyro_z41,Response # 41 of feature: body_gyro_z
body_gyro_z42,Response # 42 of feature: body_gyro_z
body_gyro_z43,Response # 43 of feature: body_gyro_z
body_gyro_z44,Response # 44 of feature: body_gyro_z
body_gyro_z45,Response # 45 of feature: body_gyro_z
body_gyro_z46,Response # 46 of feature: body_gyro_z
body_gyro_z47,Response # 47 of feature: body_gyro_z
body_gyro_z48,Response # 48 of feature: body_gyro_z
body_gyro_z49,Response # 49 of feature: body_gyro_z
body_gyro_z50,Response # 50 of feature: body_gyro_z
body_gyro_z51,Response # 51 of feature: body_gyro_z
body_gyro_z52,Response # 52 of feature: body_gyro_z
body_gyro_z53,Response # 53 of feature: body_gyro_z
body_gyro_z54,Response # 54 of feature: body_gyro_z
body_gyro_z55,Response # 55 of feature: body_gyro_z
body_gyro_z56,Response # 56 of feature: body_gyro_z
body_gyro_z57,Response # 57 of feature: body_gyro_z
body_gyro_z58,Response # 58 of feature: body_gyro_z
body_gyro_z59,Response # 59 of feature: body_gyro_z
body_gyro_z60,Response # 60 of feature: body_gyro_z
body_gyro_z61,Response # 61 of feature: body_gyro_z
body_gyro_z62,Response # 62 of feature: body_gyro_z
body_gyro_z63,Response # 63 of feature: body_gyro_z
body_gyro_z64,Response # 64 of feature: body_gyro_z
body_gyro_z65,Response # 65 of feature: body_gyro_z
body_gyro_z66,Response # 66 of feature: body_gyro_z
body_gyro_z67,Response # 67 of feature: body_gyro_z
body_gyro_z68,Response # 68 of feature: body_gyro_z
body_gyro_z69,Response # 69 of feature: body_gyro_z
body_gyro_z70,Response # 70 of feature: body_gyro_z
body_gyro_z71,Response # 71 of feature: body_gyro_z
body_gyro_z72,Response # 72 of feature: body_gyro_z
body_gyro_z73,Response # 73 of feature: body_gyro_z
body_gyro_z74,Response # 74 of feature: body_gyro_z
body_gyro_z75,Response # 75 of feature: body_gyro_z
body_gyro_z76,Response # 76 of feature: body_gyro_z
body_gyro_z77,Response # 77 of feature: body_gyro_z
body_gyro_z78,Response # 78 of feature: body_gyro_z
body_gyro_z79,Response # 79 of feature: body_gyro_z
body_gyro_z80,Response # 80 of feature: body_gyro_z
body_gyro_z81,Response # 81 of feature: body_gyro_z
body_gyro_z82,Response # 82 of feature: body_gyro_z
body_gyro_z83,Response # 83 of feature: body_gyro_z
body_gyro_z84,Response # 84 of feature: body_gyro_z
body_gyro_z85,Response # 85 of feature: body_gyro_z
body_gyro_z86,Response # 86 of feature: body_gyro_z
body_gyro_z87,Response # 87 of feature: body_gyro_z
body_gyro_z88,Response # 88 of feature: body_gyro_z
